address	verdict	file	flag
0041a1e0	RELOC	Global_GetShadersDirectory_0041a1e0.cpp	Oy
0041a330	RELOC	Global_GetLanguageDirectoryB_0041a330.cpp	Oy
0041a430	DIFFER(117v141)	NResourceDirectoryNames_GetMyDocumentsDir_0041a430.cpp	Oy
0041a4c0	RELOC	Global_GetAutoSaveCheckpointDirectory_0041a4c0.cpp	Oy
0041a540	RELOC	NResourceDirectoryNames_GetSaveDir_0041a540.cpp	Oy
0041a7c0	EXACT	global_GFToScreen_0041a7c0.cpp	Oy
0041a810	EXACT	C2DBoxF_Move_0041a810.cpp	Oy
0041ab00	EXACT	CSprite_GetDefaultGraphicIndex_0041ab00.cpp	Oy
0041ba70	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041ba70.cpp	Oy
0041baa0	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041baa0.cpp	Oy
0041bae0	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041bae0.cpp	Oy
0041bb00	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_0041bb00.cpp	Oy
0041bb30	RELOC	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCC_COptimisedPrimitive_0041bb30.cpp	Oy
0041bc90	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_0041bc90.cpp	Oy
0041bcd0	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041bcd0.cpp	Oy
0041bd00	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041bd00.cpp	Oy
0041bd20	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041bd20.cpp	Oy
0041bd60	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041bd60.cpp	Oy
0041bd80	EXACT	CTCMapwho_OnDie_0041bd80.cpp	Oy
0041bdb0	EXACT	CGraphicFrameData_scalardeletingdestructor_0041bdb0.cpp	Oy
0041bdf0	EXACT	CGraphicFrameData_scalardeletingdestructor_0041bdf0.cpp	Oy
0041be70	EXACT	CEnginePrimitiveHandle_Clear_0041be70.cpp	Oy
0041c4a0	EXACT	CObject_CObject_0041c4a0.cpp	Oy
0041c640	NO_ORACLE	global_sub0041c640_0041c640.cpp	
0041c700	EXACT	CGraphicFrame_UnInitialise_0041c700.cpp	Oy
0041c760	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_0041c760.cpp	Oy
0041c7a0	EXACT	listNUISystemCList_begin_0041c7a0.cpp	Oy
0041c7b0	EXACT	ListconstiteratorstdListvalCVsyncCallbackTimerCPendingQuery_operator_0041c7b0.cpp	Oy
0041c7c0	EXACT	TreeconstiteratorstdTreevalstdTmaptraitsCCharString_operator_0041c7c0.cpp	Oy
0041c7e0	DIFFER(26v23)	CMemoryAllocatorVariableSize_GetNoAllocatedAreas_0041c7e0.cpp	Oy
0041c800	DIFFER(26v23)	CMemoryAllocatorVariableSize_GetNoAllocatedAreas_0041c800.cpp	Oy
0041c820	EXACT	CPixelFormat_IsEquivalent_0041c820.cpp	Oy
