address	category	current	proposed
00962960	agree	?IsStrikeAction@CCreatureAction_IceTrollIcicleAttack@@UBE_NXZ	?IsStrikeAction@CCreatureAction_IceTrollIcicleAttack@@UBE_NXZ
00962970	agree	?IsToFaceTarget@CCreatureAction_IceTrollIcicleAttack@@UBE_NXZ	?IsToFaceTarget@CCreatureAction_IceTrollIcicleAttack@@UBE_NXZ
009629d0	agree	?IsStrikeAction@CCreatureAction_IceTrollIcicleAssaultInto@@UBE_NXZ	?IsStrikeAction@CCreatureAction_IceTrollIcicleAssaultInto@@UBE_NXZ
00962a30	disagree	Clone	?Clone@CCreatureAction_IceTrollIcicleAttack@@UBEPAVCCreatureActionBase@@XZ
00962a60	agree	?Clone@CCreatureAction_IceTrollIcicleAssaultInto@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_IceTrollIcicleAssaultInto@@UBEPAVCCreatureActionBase@@XZ
00962a90	disagree	OnActivate	?OnActivate@CAIStateGroup_VersusEnemyBase@@UAEXXZ
00962af0	disagree	IsStillRunnable	?IsStillRunnable@CAIStateGroup_VersusEnemyBase@@MAE_NXZ
00962b80	agree	?OnReplace@CAIStateGroup_VersusEnemyBase@@UAEXXZ	?OnReplace@CAIStateGroup_VersusEnemyBase@@UAEXXZ
00962c10	disagree	IsRunnable	?IsRunnable@CAIStateGroup_VersusRockTroll@@MAE_NXZ
00962d50	disagree	Update	?Update@CAIStateGroup_VersusRockTroll@@MAEXXZ
009635c0	agree	?IsStillRunnable@CAIStateGroup_VersusScorpionKing@@MAE_NXZ	?IsStillRunnable@CAIStateGroup_VersusScorpionKing@@MAE_NXZ
00963640	disagree	IsRunnable	?IsRunnable@CAIStateGroup_VersusScorpionKing@@MAE_NXZ
00963a50	agree	?Update@CAIStateGroup_VersusScorpionKing@@MAEXXZ	?Update@CAIStateGroup_VersusScorpionKing@@MAEXXZ
009643d0	disagree	IsStillValid	?IsStillValid@CAIStateGroup_StealStealableItem@@UBE_NXZ
009644f0	disagree	OnReplace	?OnReplace@CAIStateGroup_StealStealableItem@@UAEXXZ
009647c0	agree	?Update@CAIStateGroup_StealStealableItem@@UAEXXZ	?Update@CAIStateGroup_StealStealableItem@@UAEXXZ
00964da0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_StealStealableItem@@UAE_NXZ
00965320	disagree	IsRunnable	?IsRunnable@CAIStateGroup_RecoverStealableItem@@UAE_NXZ
