103	008946e0	?CreateObjectOnEntity@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABV2@0@Z
104	0089f9e0	?CreateEffect@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABVC3DVector@@0M_N2@Z
105	0089f910	?CreateEffect@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABV2@00_N2@Z
106	0089faa0	?CreateLight@CGameScriptInterface@@UBE?AVCScriptThing@@ABVC3DVector@@ABVCRGBColour@@ABVCCharString@@MM_N@Z
107	0089fbb0	?CreateExperienceOrb@CGameScriptInterface@@UBE?AVCScriptThing@@ABVC3DVector@@J@Z
108	0089fc80	?CreateExplosion@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABVC3DVector@@PBV4@V3@@Z
109	0089fd20	?CreatePhysicalBarrier@CGameScriptInterface@@UBE?AVCScriptThing@@MABVC3DVector@@PBV3@VCCharString@@@Z
110	0089fda0	?CreateRumble@CGameScriptInterface@@UBE?AVCScriptThing@@ABVC3DVector@@MMVCCharString@@@Z
111	00892df0	?ClearAllRumbles@CGameScriptInterface@@UBEXXZ
112	008910d0	?RemoveThing@CGameScriptInterface@@UBEXABVCScriptThing@@_N1@Z
113	00892810	?ShowOnScreenMessage@CGameScriptInterface@@UBEXABVC2DVector@@ABVCCharString@@ABVCRGBColour@@1@Z
114	008927b0	?ShowOnScreenMessage@CGameScriptInterface@@UBEXABVCCharString@@00M@Z
115	00892780	?ShowOnScreenMessage@CGameScriptInterface@@UBEXABVCCharString@@M@Z
116	00892850	?AddScreenMessage@CGameScriptInterface@@UBEXABVCCharString@@W4ETextGroupSelectionMethod@@@Z
117	0089e4c0	?AddScreenTitleMessage@CGameScriptInterface@@UBEXABVCCharString@@M_N@Z
118	0089e540	?GiveHeroYesNoQuestion@CGameScriptInterface@@UBEXABVCCharString@@000_N@Z
119	008929d0	?DisplayGameInfo@CGameScriptInterface@@UBEXABVCCharString@@@Z
120	00892a80	?DisplayGameInfoText@CGameScriptInterface@@UBEXABVCWideString@@@Z
121	00892b30	?IsSafeToDisplayGameInfo@CGameScriptInterface@@UBE_NXZ
122	0089e710	?DisplayTutorial@CGameScriptInterface@@UBE_NW4ETutorialCategory@@@Z
123	0088f3e0	?IsTutorialSystemEnabled@CGameScriptInterface@@UBE_NXZ
124	0088e130	?GiveHeroWeapon@CGameScriptInterface@@UBEXABVCCharString@@_N@Z
125	008902e0	?GiveHeroObject@CGameScriptInterface@@UBEXABVCCharString@@J_N@Z
126	00898b30	?SetWeaponAsHerosActiveWeapon@CGameScriptInterface@@UBEXABVCCharString@@@Z
