#target_addr	target_old	donor_name	similarity	significance	applied
ac70f0	?GetMatrixPart@CQuadric@QuadricOptimiserInternals@@QBE?AVCMatrix3x4@@XZ	?GetMatrixPart@CQuadric@QuadricOptimiserInternals@@QBE?AVCMatrix3x4@@XZ	0.5168303864413055	25.75013101994117	true
ad5ed0	?DestroyWaterGenerator@CEngineWaterRenderer@@QAEXXZ	?DestroyWaterGenerator@CEngineWaterRenderer@@QAEXXZ	0.5617684194179265	10.8147767080027	true
ad90c0	?OracleSymbolPopBack@CDrawQuestInfo@NPlayerGui@@QAEXXZ	?OracleSymbolPopBack@CDrawQuestInfo@NPlayerGui@@QAEXXZ	0.6264411036636501	11.81114783246004	true
ad9380	?PaintCurrentBlockSegment@CVertexGroupBlockOptimiser@@AAEXK@Z	?PaintCurrentBlockSegment@CVertexGroupBlockOptimiser@@AAEXK@Z	0.6497407157882747	50.470459986300796	true
af8ab0	NCreatureAI::`dynamic_initializer_for_'COS_OF_THE_ANGLE_NEEDED_TO_FACE_GUARD''	NCreatureAI::`dynamic_initializer_for_'COS_OF_THE_ANGLE_NEEDED_TO_FACE_GUARD''	0.5241748029675545	4.425698604910569	true
af8b40	??4CSpecialAbilitiesGhostSwordDef@@QAEAAV0@ABV0@@Z	??4CSpecialAbilitiesGhostSwordDef@@QAEAAV0@ABV0@@Z	0.5134716084991019	14.93563376209785	true
af7a10	?GetAnimsWithNameStartingWith@CThingCreatureBase@@QBEXABVCCharString@@AAV?$vector@PBVCAnimationEntry@@V?$allocator@PBVCAnimationEntry@@@std@@@std@@@Z	?GetAnimsWithNameStartingWith@CThingCreatureBase@@QBEXABVCCharString@@AAV?$vector@PBVCAnimationEntry@@V?$allocator@PBVCAnimationEntry@@@std@@@std@@@Z	0.5117786675986928	17.466326933267954	true
b05c20	?GFInterpolate@NParticleEngine@@YIJJJM@Z	?GFInterpolate@NParticleEngine@@YIJJJM@Z	0.6565829504206417	12.65992185560042	true
b05b80	?ScaleParticleDimensions@CParticleSystem@NParticleEngine@@QBEXAAM@Z	?ScaleParticleDimensions@CParticleSystem@NParticleEngine@@QBEXAAM@Z	0.5666295591192471	24.203518744800487	true
b1b4d0	?Init@CPersistContext@@QAEXAAVCStringParser@@P6IXABVCCharString@@@Z_NPBVCDefinitionManager@@PBVCSymbolMap@@PAV3@@Z	?Init@CPersistContext@@QAEXAAVCStringParser@@P6IXABVCCharString@@@Z_NPBVCDefinitionManager@@PBVCSymbolMap@@PAV3@@Z	0.6122762240993662	15.46071732523722	true
