# class(module)	fnCount
CTCDRegionEntrance	8
CTCVolumeContainmentTracker	8
CTCSwitchableNavigation	8
CTCGraphicAppearanceReplaceableMesh	8
CTCCreatureGeneratorCreator	8
CTCBurntEffect	8
CTCTeleporter	8
CTCInfoDisplay	8
CTCCreditsUI	8
CTCFireRangedWeaponOnLeavingStateGroup	8
CTCEditorAnimationCreature	8
CTCDCameraPoint	8
CTCCameraPointBuilding	8
CTCActionUseBed	8
CTCShotDefinitionDrainLife	8
CTCLightningOrb	8
CTCNamedUserActionPoints	8
CTCParticleAttacher	8
CTCEntityEvents	8
CTCCreatureGroupTag	8
CCreatureAction_PerformExpression	8
CSpellContainer	8
CFrontEndList	8
CTable	8
NPlayerGui	8
CStatBar	8
CDrawAbilityButtonsPC	8
CScriptedControl	8
CCreatureAction_SheatheItemToInventory	8
CModeRockTrollVulnerable	8
CModeBriarRoseConcentrate	8
NShape	8
CThingBodyReorienter	8
CQuestDialog	8
CCreatureAction_FireMissileWeapon	8
CModeHoverBase	8
CAIStateGroup_EnemyCreatureBase	8
CAIStateGroup_Drunk	8
CAIStateGroup_BanditPlayDice	8
CAIStateGroup_MinionSleep	8
CAIStateGroup_MinionReactToCriminal	8
CAIStateGroup_MinionGuardReactToPlayerWithWeapon	8
CAIStateGroup_CreatureRangedCombat2	8
CAIStateGroup_MinionFollowThing	8
CAIStateGroup_WhisperRetreat	8
NCombatSequenceIsValidModules	8
CAIStateGroup_EatAtTable	8
CEnginePrimitiveOcclusionManager	8
CEngineStaticMapEdgeHeights	8
CEngineLandscapeLODMap	8
CEngineSceneGridCell	8
CEngineSceneMap	8
CEngineInternalPrimitive2DAnimatedMesh	8
CGraphicInfo	8
CPreallocTexturePool	8
CGuiControlTextBox	8
CNavRegion	8
CIndexBuffer	8
CPackedUIntArray	8
CBankFileDependencies	8
CGameflowScript	8
CQ_BreakSiegeScript	8
CQ_EndGameScript	8
CQ_GuildTrainingWoodsMeleeScript	8
CQ_HeroSoulsNostroScript	8
CSummonerToKill	8
CMotherTorture	8
CQ_UndeadRisingScript	8
CV_BanditTollScript	8
CV_BookCollectingScript	8
CV_ChickenKickingScript	8
