address	name	named	size	thunk	ok	error
00415fe0	ProcessEvent	1	18	0	1	
00415ff2	EventIsSystemEvent	1	19	0	1	
00416005	InitDefinitions	1	66	0	1	
00416047	AddToInterface	1	15	0	1	
00416056	InitEventPackageLoading	1	80	0	1	
004160a6	UninitEventPackageLoading	1	38	0	1	
004160cc	InitEventPackageSaving	1	86	0	1	
00416122	UninitEventPackageLoading	1	38	0	1	
00416148	GetEventPackageSetFromSave	1	95	0	1	
004161a7	AddEventPackageSetToSave	1	91	0	1	
00416202	operator_new	1	23	0	1	
00416219	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>	1	12	0	1	
00416225	DrawGetEnvironment	1	4	0	1	
00416231	GetCurrentGameTime	1	13	0	1	
00416258	GetCurrentGameTime	1	16	0	1	
00416268	BeginInputLoading	1	23	0	1	
0041627f	BeginInputLoading	1	23	0	1	
00416296	IsControllerDisconnected	1	31	0	1	
004162b5	UpdateRegular	1	119	0	1	
00416359	DrawGetEnvironment	1	4	0	1	
00416365	PostChangeResolution	1	45	0	1	
00416392	PeekWorldChecksum	1	37	0	1	
004163b7	SetExclusiveMode	1	104	0	1	
0041641f	FUN_0041641f	0	125	0	1	
0041649c	AddGameEvent	1	68	0	1	
004164e0	ForceRender	1	264	0	1	
004165e8	CheckSync	1	136	0	1	
00416670	ProcessEventPackage	1	56	0	1	
004166a8	CreatePlayers	1	58	0	1	
004166e2	GetGameTimeOfNextPresentCompletion	1	104	0	1	
0041674a	IsTimeForServerUpdate	1	93	0	1	
004167a7	_Dest_val<std::allocator<std::pair<long,CMusicManager::CRegisteredMusicEntry>_>,std::pair<long,CMusicManager::CRegisteredMusicEntry>_>	1	33	0	1	
004167c8	GFGetPreMainMemoryUsed	1	5	1	1	
004167cd	GetCurrentFrameFinishTimeApproximation	1	13	0	1	
004167da	AppReinitFunc	1	88	0	1	
00416832	InitialiseText	1	170	0	1	
004168dc	InitialiseFonts	1	119	0	1	
00416953	?PostInit@CMainGameComponent@@MAEXXZ	1	738	0	1	
00416c35	ConsoleForceUpdateTickSpeed	1	85	0	1	
00416c8a	InitGraphics	1	494	0	1	
00416e78	?GetInputs@CMainGameComponent@@MAEXXZ	1	393	0	1	
00417001	?Render@CMainGameComponent@@MAEXXZ	1	620	0	1	
0041726d	UpdateFromEventPackageSet	1	189	0	1	
0041732a	InitPlayerManager	1	48	0	1	
0041735a	InitWorld	1	190	0	1	
00417418	InitDisplayEngine	1	217	0	1	
004174f1	InitParticleEngine	1	119	0	1	
00417568	ConsoleSetResolution	1	114	0	1	
004175da	?OnPostDeviceReset@CMainGameComponent@@UAE_NXZ	1	11	0	1	
004175e5	Shutdown	1	354	0	1	
00417747	UpdateForcedTickSpeed	1	596	0	1	
0041799b	?ChangeTextureColourDepth@CMainGameComponent@@UAEXJ@Z	1	83	0	1	
