# revert map: restores default names if needed
00c0ec10	FUN_00c0ec10
00c101d0	FUN_00c101d0
00c13140	FUN_00c13140
00c13700	FUN_00c13700
00c16820	FUN_00c16820
00c16b10	FUN_00c16b10
00c1ba60	FUN_00c1ba60
00c1c460	FUN_00c1c460
00c1e640	FUN_00c1e640
00c1f320	FUN_00c1f320
00c20750	FUN_00c20750
00c20c10	FUN_00c20c10
00c21780	FUN_00c21780
00c26090	FUN_00c26090
00c26410	FUN_00c26410
00c26480	FUN_00c26480
00c27c10	FUN_00c27c10
00c2c670	FUN_00c2c670
00c2d210	FUN_00c2d210
00c31db0	FUN_00c31db0
00c34440	FUN_00c34440
00c34b80	FUN_00c34b80
00c34e60	FUN_00c34e60
00c383d0	FUN_00c383d0
00c3abd0	FUN_00c3abd0
00c3bf30	FUN_00c3bf30
00c3c450	FUN_00c3c450
00c3f620	FUN_00c3f620
00c42ad0	FUN_00c42ad0
00c465f0	FUN_00c465f0
00c46860	FUN_00c46860
00c46e90	FUN_00c46e90
00c4c1d0	FUN_00c4c1d0
00c51a20	FUN_00c51a20
00c55980	FUN_00c55980
00c55b00	FUN_00c55b00
00c562f0	FUN_00c562f0
00c59d80	FUN_00c59d80
00c5f2d0	FUN_00c5f2d0
00c5f350	FUN_00c5f350
00c60b30	FUN_00c60b30
00c633c0	FUN_00c633c0
00c635c0	FUN_00c635c0
00c63690	FUN_00c63690
00c638e0	FUN_00c638e0
00c63a60	FUN_00c63a60
00c63bc0	FUN_00c63bc0
00c67a10	FUN_00c67a10
00c6bc80	FUN_00c6bc80
00c6caf0	FUN_00c6caf0
00c6cb80	FUN_00c6cb80
00c6cef0	FUN_00c6cef0
00c6d370	FUN_00c6d370
00c6f0f0	FUN_00c6f0f0
