address	current_name	reason	category
007a6320	ListHead_InitCircular_0xc_007a6320	ambiguous-or-no-donor-match	allocator-wrapper
007acb50	ObjHolder_AllocStore_0x18_007acb50	ambiguous-or-no-donor-match	initializer-destructor
007acb80	ObjHolder_AllocStore_0x20_007acb80	ambiguous-or-no-donor-match	initializer-destructor
007acde0	TreeHeader_InitSentinel_0x18_007acde0	ambiguous-or-no-donor-match	allocator-wrapper
00817710	ObjHolder_AllocStore_0x18_00817710	ambiguous-or-no-donor-match	initializer-destructor
00824b40	ListHead_InitCircular_0x5c_00824b40	ambiguous-or-no-donor-match	allocator-wrapper
00824bc0	ListHead_InitCircular_0x10_00824bc0	ambiguous-or-no-donor-match	allocator-wrapper
00824e80	ObjHolder_AllocStore_0x18_00824e80	ambiguous-or-no-donor-match	initializer-destructor
00824ef0	ObjHolder_AllocStore_0x30_00824ef0	ambiguous-or-no-donor-match	initializer-destructor
008254a0	ListHead_InitCircular_0x5c_008254a0	ambiguous-or-no-donor-match	allocator-wrapper
00825540	ListHead_InitCircular_0x10_00825540	ambiguous-or-no-donor-match	allocator-wrapper
00827e20	ListHead_InitCircular_0xc_00827e20	ambiguous-or-no-donor-match	allocator-wrapper
00828c20	ListHead_InitCircular_0xc_00828c20	ambiguous-or-no-donor-match	allocator-wrapper
0082c570	ListHead_InitCircular_0x18_0082c570	ambiguous-or-no-donor-match	allocator-wrapper
0082c900	ListHead_InitCircular_0x18_0082c900	ambiguous-or-no-donor-match	allocator-wrapper
00835180	ObjHolder_AllocStore_0x14_00835180	ambiguous-or-no-donor-match	initializer-destructor
008368f0	ConditionalVirtualDispatch_OnLevelUnload	ambiguous-or-no-donor-match	field-accessor
008697f0	PtrHolder_Alloc_sz18_008697f0	ambiguous-or-no-donor-match	initializer-destructor
0086c5c0	CPersistInfo_InsertionSortStep_0086c5c0	ambiguous-or-no-donor-match	semantic-logic
0086f600	PriorityQueue_PushSift_0086f600	ambiguous-or-no-donor-match	initializer-destructor
0086fa00	CPersistInfo_InsertionSortStep_0086fa00	ambiguous-or-no-donor-match	semantic-logic
008702d0	Handle_InitInvalid_008702d0	ambiguous-or-no-donor-match	field-accessor
008709c0	CWorldDriver_FindClosestMeshVolume_DefaultCall_008709c0	ambiguous-or-no-donor-match	thunk-stub-wrapper
00874ca0	ListSentinel_Ctor_sz10_00874ca0	ambiguous-or-no-donor-match	initializer-destructor
00874d30	ListSentinel_Ctor_sz10_00874d30	ambiguous-or-no-donor-match	initializer-destructor
00876e10	Vector_ComputePotentialGradient_00876e10	ambiguous-or-no-donor-match	initializer-destructor
00883280	ListSentinel_Ctor_sz68_00883280	ambiguous-or-no-donor-match	initializer-destructor
00883300	ListSentinel_Ctor_sz28_00883300	ambiguous-or-no-donor-match	initializer-destructor
00883340	ListSentinel_Ctor_sz44_00883340	ambiguous-or-no-donor-match	initializer-destructor
008833c0	PtrHolder_Alloc_sz20_008833c0	ambiguous-or-no-donor-match	initializer-destructor
008833f0	PtrHolder_Alloc_sz14_008833f0	ambiguous-or-no-donor-match	initializer-destructor
00883be0	ListSentinel_Ctor_sz68_00883be0	ambiguous-or-no-donor-match	initializer-destructor
00883c60	ListSentinel_Ctor_sz28_00883c60	ambiguous-or-no-donor-match	initializer-destructor
00883ca0	ListSentinel_Ctor_sz44_00883ca0	ambiguous-or-no-donor-match	initializer-destructor
00884180	ListSentinel_Ctor_sz68_00884180	ambiguous-or-no-donor-match	initializer-destructor
008841a0	ListSentinel_Ctor_sz28_008841a0	ambiguous-or-no-donor-match	initializer-destructor
